promo_id,promo_name,start_date,end_date,discount_pct,promo_type,target_type,target_value
PROMO001,CrispKing Buy 1 Get 1 Free Campaign #01,2025-02-01,2025-02-15,30.0,Buy 1 Get 1 Free,Brand,CrispKing
PROMO002,SKU00095 Bundle Discount Campaign #02,2025-03-01,2025-03-15,10.0,Bundle Discount,SKU,SKU00095
PROMO003,Storewide All Products Clearance Sale Campaign #03,2025-04-01,2025-04-15,15.0,Clearance Sale,All,Storewide All Products
PROMO004,Health & Wellness Percentage Discount Campaign #04,2025-05-01,2025-05-15,20.0,Percentage Discount,Category,Health & Wellness
PROMO005,GreenValley Buy 1 Get 1 Free Campaign #05,2025-06-01,2025-06-15,50.0,Buy 1 Get 1 Free,Brand,GreenValley
PROMO006,SKU00283 Bundle Discount Campaign #06,2025-07-01,2025-07-15,5.0,Bundle Discount,SKU,SKU00283
PROMO007,Storewide All Products Clearance Sale Campaign #07,2025-08-01,2025-08-15,30.0,Clearance Sale,All,Storewide All Products
PROMO008,Personal Care Percentage Discount Campaign #08,2025-09-01,2025-09-15,10.0,Percentage Discount,Category,Personal Care
PROMO009,PremiumSelect Buy 1 Get 1 Free Campaign #09,2025-10-01,2025-10-15,10.0,Buy 1 Get 1 Free,Brand,PremiumSelect
PROMO010,SKU00471 Bundle Discount Campaign #10,2025-11-01,2025-11-15,10.0,Bundle Discount,SKU,SKU00471
PROMO011,Storewide All Products Clearance Sale Campaign #11,2025-12-01,2025-12-15,25.0,Clearance Sale,All,Storewide All Products
PROMO012,Home & Kitchen Percentage Discount Campaign #12,2025-01-01,2025-01-15,25.0,Percentage Discount,Category,Home & Kitchen
PROMO013,EverydayPlus Buy 1 Get 1 Free Campaign #13,2025-02-01,2025-02-15,30.0,Buy 1 Get 1 Free,Brand,EverydayPlus
PROMO014,SKU00659 Bundle Discount Campaign #14,2025-03-01,2025-03-15,25.0,Bundle Discount,SKU,SKU00659
PROMO015,Storewide All Products Clearance Sale Campaign #15,2025-04-01,2025-04-15,30.0,Clearance Sale,All,Storewide All Products
PROMO016,Health & Wellness Percentage Discount Campaign #16,2025-05-01,2025-05-15,40.0,Percentage Discount,Category,Health & Wellness
